[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {posix.write}
       36    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
        5    0.000    0.000    0.000    0.000 abc.py:86(__new__)
      180    0.000    0.000    0.000    0.000 pkg_resources.py:1739(__init__)
        1    0.000    0.000    0.000    0.000 xlib.py:82(set)
        8    0.000    0.000    0.000    0.000 glx_info.py:124(get_extensions)
        2    0.000    0.000    0.004    0.002 xlib.py:191(__init__)
       99    0.000    0.000    0.000    0.000 clock.py:339(<lambda>)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       11    0.000    0.000    0.003    0.000 __init__.py:897(dispatch_platform_event_view)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        6    0.000    0.000    0.005    0.001 zipfile.py:726(__init__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 {cv2.waitKey}
        7    0.000    0.000    0.000    0.000 re.py:204(escape)
       53    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:224(_read_environment)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
       20    0.000    0.000    0.000    0.000 numeric.py:2416(geterr)
        8    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1228(_event_enternotify)
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
       12    0.000    0.000    0.000    0.000 {time.mktime}
        2    0.000    0.000    0.000    0.000 __init__.py:257(__init__)
      484    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
